job_id,ncpus_requested,ncpus_used,cpu_used,walltime_used,cpu_utilisation,exit_status,cpu_used_secs
7405639.r-man2,80,80,30:51:20,00:54:03,42.82,0,111080
7398337.r-man2,80,80,15:15:25,00:27:56,40.96,0,54925
7395493.r-man2,80,80,17:11:23,00:38:54,33.14,0,61883
7397289.r-man2,80,80,10:21:25,00:40:27,19.2,0,37285
7404965.r-man2,80,80,26:58:28,00:49:18,41.04,0,97108
7402286.r-man2,80,80,20:51:58,00:28:19,55.27,0,75118
7397567.r-man2,80,80,19:54:40,00:42:01,35.54,0,71680
7398592.r-man2,80,80,16:15:22,00:26:40,45.72,0,58522
7398715.r-man2,80,80,10:00:11,00:21:18,35.22,0,36011
7397152.r-man2,80,80,00:02:24,00:18:25,0.16,2,144
7398823.r-man2,80,80,09:45:52,00:34:55,20.97,0,35152
7401211.r-man2,80,80,20:40:47,00:31:50,48.72,0,74447
7395208.r-man2,80,80,16:58:25,00:33:13,38.32,0,61105
7402525.r-man2,80,80,19:58:40,00:24:16,61.74,0,71920
7399033.r-man2,80,80,08:20:56,00:34:39,18.07,0,30056
7403701.r-man2,80,80,19:44:41,00:25:45,57.51,0,71081
7583683.r-man2,80,80,00:05:00,00:01:31,4.12,0,300
7403436.r-man2,80,80,20:01:47,00:27:46,54.1,0,72107
7398464.r-man2,80,80,12:16:42,00:31:52,28.9,0,44202
7401536.r-man2,80,80,20:24:09,00:30:01,50.98,0,73449
7394635.r-man2,80,80,15:51:36,00:27:40,42.99,0,57096
7400813.r-man2,80,80,20:13:08,00:30:15,50.13,0,72788
7396551.r-man2,80,80,17:02:09,00:38:37,33.09,0,61329
7398161.r-man2,80,80,18:42:22,00:29:28,47.61,0,67342
7401734.r-man2,80,80,20:20:05,00:29:50,51.12,0,73205
7397143.r-man2,80,80,15:00:50,00:41:55,26.86,0,54050
7403242.r-man2,80,80,19:19:34,00:22:44,63.76,0,69574
7394812.r-man2,80,80,15:12:33,00:25:46,44.27,0,54753
7388601.r-man2,80,80,07:44:44,00:33:30,17.34,0,27884
7396948.r-man2,80,80,16:51:07,00:37:25,33.78,0,60667
7395760.r-man2,80,80,18:01:00,00:35:12,38.39,0,64860
7397149.r-man2,80,80,00:11:54,00:16:22,0.91,0,714
7403993.r-man2,80,80,20:34:41,00:34:11,45.15,0,74081
7382997.r-man2,80,80,00:40:58,00:22:19,2.29,0,2458
7397976.r-man2,80,80,18:20:57,00:29:37,46.47,0,66057
7400498.r-man2,80,80,16:59:17,00:38:55,32.74,0,61157
7396203.r-man2,80,80,16:12:31,00:37:29,32.43,0,58351
7402038.r-man2,80,80,20:49:10,00:31:19,49.86,0,74950
7404275.r-man2,80,80,20:32:46,00:39:45,38.77,0,73966
7404499.r-man2,80,80,18:13:02,00:41:08,33.22,0,65582
7397161.r-man2,80,80,00:03:37,00:31:05,0.15,2,217
7391700.r-man2,80,80,18:01:36,00:45:16,29.87,0,64896
7399813.r-man2,80,80,19:32:46,00:43:06,34.01,0,70366
7395005.r-man2,80,80,18:09:12,00:30:43,44.32,0,65352
7396685.r-man2,80,80,16:20:17,00:30:37,40.02,0,58817
7399282.r-man2,80,80,18:20:57,00:39:24,34.93,0,66057
7400187.r-man2,80,80,19:19:03,00:29:38,48.89,0,69543
